ccaa,jubilacion_numero,jubilacion_pension_media
ESPAÑA,6226951,1,245.90
ANDALUCÍA,930335,1,124.48
ARAGÓN,200507,1,306.22
ASTURIAS (PRINCIPADO DE),183167,1,494.67
BALEARS (ILLES),131549,1,150.27
CANARIAS,194508,1,154.24
CANTABRIA,89387,1,325.73
CASTILLA - LA MANCHA,222497,1,156.94
CASTILLA Y LEÓN,395425,1,235.63
CATALUÑA,1149860,1,269.88
COMUNITAT VALENCIANA,636076,1,140.31
EXTREMADURA,132903,1,036.04
GALICIA,482957,1,053.71
MADRID (COM. DE),803204,1,449.68
MURCIA (REGIÓN DE),148082,1,111.87
NAVARRA (COM. FORAL DE),95623,1,405.43
PAÍS VASCO,373826,1,527.88
RIOJA (LA),48731,1,193.85
Ceuta,4405,1,360.95
Melilla,3909,1,309.41
